stockName,MarketCap,P/E,ForP/E,PEG,P/S,P/B,P/Cash,EPS,Own,ROA,ROE,Ratio,D/E,Margin,20SMA,52wkH/L,RSI,Gap,Price,Change,Volume
ATW,3170.41,11.39,7.98,0.57,3.74,1.57,29.26,4.24,0.01,0.1,0.15,2.71,0.53,0.33,-0.01,1.59,48.3,-0.01,48.3,0.01,472511
ATX,163.82,17.74,12.94,0.96,0.91,1.89,5.99,0.7,0.05,0.06,0.11,2.08,0.18,0.05,-0.04,1.68,43.45,0,12.42,-0.02,13069
AUXL,790.28,9.27,34.11,0.31,2,3.96,5.02,1.73,0.01,0.27,0.6,2.48,0,0.22,-0.04,1.87,40.82,0,16.03,-0.02,480570
AVA,1657.48,20.97,14.88,5.24,1.07,1.31,21.96,1.32,0.01,0.02,0.06,0.88,1.13,0.05,0.02,1.25,63.39,0,27.68,0,212435
AVAV,425.12,14.59,37.94,1.04,1.43,1.35,3.18,1.3,0.01,0.08,0.1,6.87,0,0.1,0.04,1.64,54.14,0,18.97,0,218041
AVD,810.83,22.23,13.62,0.66,2.21,3.6,21.07,1.28,0.05,0.1,0.18,1.96,0.23,0.1,-0.02,1.63,42.81,-0.01,28.46,-0.01,286252
AVGO,7908.37,14.27,11.27,1.25,3.33,3.14,6.87,2.25,0,0.21,0.25,6.18,0,0.24,-0.05,1.28,39.76,0,32.11,-0.02,3094499
AVT,4365.87,8.85,7.75,2.19,0.17,1.06,5.36,3.6,0,0.05,0.13,1.77,0.49,0.02,-0.05,1.45,36.78,-0.01,31.87,-0.04,1085932
AVY,4147.49,22.41,14.1,1.77,0.69,2.62,19.97,1.85,0,0.04,0.12,1.18,0.86,0.03,-0.01,1.71,48.49,0,41.45,0,492624
AWAY,2573.69,153.8,39.44,4.73,8.7,4.7,8.19,0.2,0.01,0.03,0.04,1.78,0,0.06,-0.04,1.79,44.56,0,30.76,-0.04,2455171
AWI,3095.91,21.72,16.78,1.42,1.18,4.29,9.2,2.41,0.43,0.05,0.16,2.65,1.49,0.06,0,1.54,49.81,0,52.34,-0.01,367984
AWK,7310.84,19.51,17.37,2.13,2.54,1.64,299.26,2.11,0,0.03,0.09,0.5,1.26,0.13,-0.01,1.33,48.79,-0.01,41.16,-0.01,677390
AWR,1063.1,19.48,19.91,3.25,2.28,2.33,45.26,2.83,0.01,0.04,0.12,1.96,0.74,0.12,-0.01,1.67,48.79,0,55.14,0,176378
AXE,2295.21,21.39,10,1.43,0.37,2.37,39.1,3.3,0.02,0.04,0.11,2.61,0.89,0.02,0.03,1.49,58.94,0,70.6,-0.01,332510
AXLL,3788.05,15.73,9.85,2.36,1.14,3.11,18.91,3.45,0.01,0.07,0.22,2.39,0.93,0.04,-0.03,2.74,45.55,-0.01,54.27,-0.05,1059230
AXTI,92.4,31.44,35.37,1.37,1.05,0.64,2.26,0.09,0.02,0.04,0.02,8.13,0.03,0.07,0,2.1,47.89,-0.01,2.83,0,181897
AYI,3115.75,26.54,18.6,2.21,1.58,3.45,11.86,2.74,0.01,0.07,0.14,2.51,0.4,0.06,0.02,1.57,54.91,0,72.73,-0.01,310844
AZK,686.67,21.95,13.03,10.97,3.12,1.94,3.41,0.19,0.05,0.07,0.09,7.3,0,0.14,-0.01,1.75,47.66,0.01,4.17,0,577070
AZPN,2793.52,332.11,54.35,25.55,10.19,26.93,15.94,0.09,0.01,0.02,0.07,1.43,0,0.03,-0.01,1.69,45.47,0,29.89,-0.01,255238
B,1479.12,15.33,12.18,1.24,1.2,1.85,17.13,1.78,0.04,0.06,0.13,3.09,0.81,0.08,-0.02,1.49,46.94,-0.01,27.28,-0.01,315959
BA,70443.44,17.42,13.04,1.25,0.87,9.44,5.94,5.33,0,0.05,0.65,1.3,1.23,0.05,0.07,1.41,74.88,0,92.85,0.01,5912079
BABY,393.38,117.91,14.1,6.37,1.35,1.45,17.06,0.11,0.02,0.01,0.01,1.71,0.12,0.01,-0.01,1.43,51.56,-0.01,12.97,0.02,210910
BAGL,256.53,20.03,13.6,1.34,0.6,9.2,14.72,0.74,0.01,0.06,0.22,1.12,4.97,0.03,0.02,1.54,55.22,-0.01,14.82,-0.01,26753
BAH,1971.96,10.08,9.68,0.9,0.34,11.52,6.21,1.44,0.01,0.07,0.31,1.43,9.36,0.04,0.06,1.79,69.39,0,14.52,0,112685
BBBY,15171.73,14.68,12.33,1.14,1.39,3.72,14.95,4.57,0.01,0.17,0.26,2.37,0,0.1,0.02,1.4,62.89,0,67.09,-0.01,1335429
BBGI,150.81,13.75,11.79,0.47,1.5,1.81,12.93,0.48,0.1,0.04,0.14,2.64,1.41,0.11,0.12,1.99,61.27,0.01,6.6,0.02,3142
BBOX,349.64,11.17,8.41,1.12,0.34,0.72,11.86,1.92,0,0.04,0.07,1.95,0.4,0.03,0,1.49,45.85,0,21.45,-0.03,52846
BBRG,331.16,21.63,15.92,1.44,0.81,3.3,24.14,0.78,0.02,0.06,0.17,0.55,0.23,0.04,0.06,1.72,69.75,0,16.87,0.01,141605
BBSI,380.51,30.54,18.57,0.87,0.88,7.43,5.68,1.77,0,0.06,0.28,1.21,0.11,0.03,0,3.16,53.84,0,54.05,0.03,92690
BC,3031.55,20.82,12.99,1.73,0.82,38.53,8.05,1.61,0.01,0.06,2.71,1.45,7.36,0.04,0.04,1.94,52.73,-0.02,33.52,-0.03,1568674
BCC,1416.65,23.41,27.31,1.8,0.51,9.96,25.99,1.4,0.69,0.05,0.22,2.23,2.81,0.01,0.05,1.37,58.9,-0.01,32.77,-0.01,164512
BCO,1266.38,12.03,12.91,1,0.33,2.52,6.28,2.2,0,0.05,0.23,1.34,0.78,0.03,0.02,1.48,52.55,-0.01,26.46,-0.04,376928
BCOR,606.39,27.91,11.04,1.4,1.49,1.45,3.74,0.53,0.01,0.05,0.06,3.13,0.18,0.06,-0.02,1.74,44.78,-0.01,14.79,0,326076
BCPC,1262.34,32.34,21.89,2.7,4.07,4.61,8.72,1.32,0.02,0.14,0.16,7.01,0,0.13,-0.01,1.62,50.46,0,42.69,-0.02,54649
